"Month","Tmin","Tmax","Dynamic_Model","GDH"
10,2,14,0.719531994705608,69.0201335030182
10,2,15,0.621553868121581,81.9027971010424
10,2,16,0.596329550791366,95.1851267094205
10,2,17,0.520232389764645,108.656846924135
10,2,18,0.313319686457806,122.107909206222
10,2,19,0.222840172499264,135.33419350181
10,2,20,0.388460131748042,148.139776274337
10,2,21,0.384756677158136,160.339194713225
10,2,22,0.419508794188594,171.761766524518
10,2,23,0,182.25488834041
10,2,24,0,191.686915616234
10,2,25,0,199.948843482932
10,2,26,0,201.353223276242
10,2,27,0,199.087910064017
10,2,28,0,192.351714949802
10,2,29,0,184.536232215884
10,2,30,0,177.068221969348
10,3,3,0.648565775962529,0
10,3,4,0.684907573621781,0
10,3,5,0.756701473226951,0.598530868434533
10,3,6,0.757053442289516,2.76871121517833
10,3,7,0.776046503435356,6.61250679752077
10,3,8,0.744205177675284,12.104966575516
10,3,9,0.736715547410543,19.1676564913615
10,3,10,0.727468691423728,27.6854699747991
10,3,11,0.713855512662745,37.5207553578749
10,3,12,0.691268103669823,48.5133759864054
10,3,13,0.656249400119702,60.4856714054323
10,3,14,0.628456757430872,73.2446202393589
10,3,15,0.594106214551598,86.5875732646088
10,3,16,0.549476858530064,100.304966185496
10,3,17,0.495374985833422,114.183935253409
10,3,18,0.397625379343955,128.01278300019
10,3,19,0.271503117336919,141.584990617252
10,3,20,0.173032246018957,154.702675415484
10,3,21,0.367746762469071,167.18006682985
10,3,22,0.290831065390339,178.846748549654
10,3,23,0,189.550526263572
10,3,24,0,199.160039779579
10,3,25,0,207.566907971561
10,3,26,0,208.956106508891
10,3,27,0,206.702094641167
10,3,28,0,199.625430598128
10,3,29,0,191.905546213124
10,3,30,0,184.298394569576
10,4,4,0.717979987529154,0
10,4,5,0.774162980970138,0.900285386708768
10,4,6,0.765811605067674,3.58657269278716
10,4,7,0.769071132340097,8.01542603532383
10,4,8,0.749718348972139,14.1153492405277
10,4,9,0.749667681047787,21.7881128480294
10,4,10,0.745857086458407,30.9105754142832
10,4,11,0.730041452148212,41.336963495716
10,4,12,0.717711189096232,52.9015657567832
10,4,13,0.699978922000197,65.4217886085793
10,4,14,0.675927754543059,78.7015138010839
10,4,15,0.642919486523273,92.5346926058444
10,4,16,0.603745773473678,106.709106750775
10,4,17,0.627425539458646,121.010223192851
10,4,18,0.604959425305501,135.225068197291
10,4,19,0.555794632993981,149.146046063071
10,4,20,0.472254678141728,162.574629193712
10,4,21,0.422317212200241,175.324849028323
10,4,22,0.12935809622475,187.226521560451
10,4,23,0,198.128146692585
10,4,24,0,207.89942738702
10,4,25,0,216.433362340035
10,4,26,0,217.788228458452
10,4,27,0,215.436370225969
10,4,28,0,208.090397635017
10,4,29,0,200.44403626487
10,4,30,0,192.499810204492
10,5,5,0.785131768723257,2.81463179126761
10,5,6,0.798291553378891,6.18622186748382
10,5,7,0.816902671030379,11.2908065084113
10,5,8,0.808113084316227,18.0529346302031
10,5,9,0.819979771787345,26.3705671834084
10,5,10,0.802595290701175,36.1169409875116
10,5,11,0.79073740677459,47.1428885965528
10,5,12,0.805848701953057,59.2795690781755
10,5,13,0.783362449053438,72.341556599949
10,5,14,0.747338628534213,86.1302267933285
10,5,15,0.703723978442323,100.437375145472
10,5,16,0.677451721222388,115.048997266094
10,5,17,0.64516937184121,129.749157877423
10,5,18,0.535999949826588,144.323873838381
10,5,19,0.441864832678214,158.564936467641
10,5,20,0.390425416281944,172.273599872291
10,5,21,0.423381887700935,185.264064887218
10,5,22,0,197.366692523075
10,5,23,0,208.430886417878
10,5,24,0,218.327590572335
10,5,25,0,226.951356481642
10,5,26,0,228.234205966934
10,5,27,0,225.651638545408
10,5,28,0,218.096594951038
10,5,29,0,210.485680918859
10,5,30,0,201.982475071612
10,6,6,0.819668716493917,11.1956529418925
10,6,7,0.828928662207856,16.9632186995273
10,6,8,0.835256248134425,24.3720329180494
10,6,9,0.835729449015122,33.3163147654048
10,6,10,0.806977467602782,43.6657617005575
10,6,11,0.805413194184691,55.2679085032825
10,6,12,0.805398230945022,67.9508938800406
10,6,13,0.77188819018281,81.5265810378329
10,6,14,0.743938052422428,95.7939717548752
10,6,15,0.704135576943386,110.542847824133
10,6,16,0.647858124161092,125.557569415815
10,6,17,0.61510856321807,140.62095698348
10,6,18,0.482548289021922,155.518181882319
10,6,19,0.472538296175899,170.040590904467
10,6,20,0.483731532580011,183.989391461556
