"Month","Tmin","Tmax","CP"
10,-13,11,0.56409623530177
10,-13,12,0.563801451028433
10,-13,13,0.51810533547843
10,-13,14,0.535311177423935
10,-13,15,0.540093391877283
10,-13,16,0.556694350515544
10,-13,17,0.556776705110903
10,-13,18,0.495644345090808
10,-13,19,0.413894830296885
10,-13,20,0.35880113628379
10,-13,21,0.279458745804947
10,-13,22,0.251610208839102
10,-13,23,0
10,-13,24,0
10,-13,25,0
10,-13,26,0
10,-13,27,0
10,-13,28,0
10,-13,29,0
10,-13,30,0
10,-12,-12,1.93676667672958e-10
10,-12,-11,5.28158045868317e-10
10,-12,-10,2.01051725394304e-09
10,-12,-9,9.19528566358792e-09
10,-12,-8,4.54220116413339e-08
10,-12,-7,2.30862214588568e-07
10,-12,-6,1.18296180066661e-06
10,-12,-5,6.05409416949476e-06
10,-12,-4,3.07907374492488e-05
10,-12,-3,0.000155138382513566
10,-12,-2,0.000772326966536312
10,-12,-1,0.00378236344498025
10,-12,0,0.0179550333075206
10,-12,1,0.0777632788211475
10,-12,2,0.251855791139852
10,-12,3,0.468344431416135
10,-12,4,0.499782097390972
10,-12,5,0.512246431138645
10,-12,6,0.564766196398326
10,-12,7,0.575812173269038
10,-12,8,0.560098267678872
10,-12,9,0.596474339778906
10,-12,10,0.571253475526536
10,-12,11,0.57723445546194
10,-12,12,0.554818265219635
10,-12,13,0.542700572269084
10,-12,14,0.552710607711782
10,-12,15,0.564134370065225
10,-12,16,0.572382259745577
10,-12,17,0.505043622896805
10,-12,18,0.466159813244788
10,-12,19,0.404195883033233
10,-12,20,0.35634303388826
10,-12,21,0.333461724593552
10,-12,22,0.269538541094621
10,-12,23,0
10,-12,24,0
10,-12,25,0
10,-12,26,0
10,-12,27,0
10,-12,28,0
10,-12,29,0
10,-12,30,0
10,-11,-11,1.18963471935187e-09
10,-11,-10,3.20361277647686e-09
10,-11,-9,1.19897905665792e-08
10,-11,-8,5.38605439255037e-08
10,-11,-7,2.61325270728512e-07
10,-11,-6,1.30458523950929e-06
10,-11,-5,6.56499947959702e-06
10,-11,-4,3.29884016659052e-05
10,-11,-3,0.000164676840825469
10,-11,-2,0.00081371868899677
10,-11,-1,0.00396027964801988
10,-11,0,0.0186953099497151
10,-11,1,0.0805091224720521
10,-11,2,0.259213114113554
10,-11,3,0.479840686269588
10,-11,4,0.515636564216026
10,-11,5,0.53143608840812
10,-11,6,0.578038706240155
10,-11,7,0.555186283211209
10,-11,8,0.58174465347321
10,-11,9,0.595679983763361
10,-11,10,0.583950698874967
10,-11,11,0.560492997638622
10,-11,12,0.569224569455099
10,-11,13,0.575081719513668
10,-11,14,0.555981675011015
10,-11,15,0.584302569878901
10,-11,16,0.540194192437082
10,-11,17,0.502832709698294
10,-11,18,0.471073560224431
10,-11,19,0.406158420879108
10,-11,20,0.361205417573179
10,-11,21,0.359838922015549
10,-11,22,0.270750843091455
10,-11,23,0
10,-11,24,0
10,-11,25,0
10,-11,26,0
10,-11,27,0
10,-11,28,0
10,-11,29,0
10,-11,30,0
10,-10,-10,7.1529479990829e-09
10,-10,-9,1.90177141888122e-08
10,-10,-8,6.99776331324882e-08
10,-10,-7,3.08714266747896e-07
10,-10,-6,1.4708900917421e-06
10,-10,-5,7.21069070112549e-06
10,-10,-4,3.5627551348751e-05
10,-10,-3,0.000175725432791173
10,-10,-2,0.000860363455579413
10,-10,-1,0.00415633169100331
10,-10,0,0.0194955087235828
10,-10,1,0.0834301173000518
10,-10,2,0.267023339422027
10,-10,3,0.49063311198556
10,-10,4,0.530573978770469
10,-10,5,0.521150777385823
10,-10,6,0.582093544286746
10,-10,7,0.559723483683658
10,-10,8,0.607620098993739
10,-10,9,0.603117884002027
10,-10,10,0.580007163879496
10,-10,11,0.581508481424561
10,-10,12,0.594663799283643
10,-10,13,0.595885248407976
10,-10,14,0.566721297930504
10,-10,15,0.573251831794051
10,-10,16,0.546209515638866
10,-10,17,0.530616047830863
10,-10,18,0.483150821130435
10,-10,19,0.421468060046948
10,-10,20,0.396376733108122
10,-10,21,0.407535656980794
10,-10,22,0.381981762473264
10,-10,23,0
10,-10,24,0
10,-10,25,0
10,-10,26,0
10,-10,27,0
10,-10,28,0
10,-10,29,0
10,-10,30,0
10,-9,-9,4.20859278810597e-08
10,-9,-8,1.10455716729849e-07
10,-9,-7,3.99520443178182e-07
10,-9,-6,1.73053987480082e-06
10,-9,-5,8.09540409767286e-06
10,-9,-4,3.8964269679545e-05
10,-9,-3,0.000188980715065041
10,-9,-2,0.000914307945892138
10,-9,-1,0.0043766315860807
10,-9,0,0.0203763013733893
10,-9,1,0.0866129635018053
10,-9,2,0.275566300824814
10,-9,3,0.503179199015516
10,-9,4,0.545562360671027
10,-9,5,0.539211998916666
10,-9,6,0.594579843196097
10,-9,7,0.588884024741826
10,-9,8,0.625090214242683
10,-9,9,0.608713292704126
10,-9,10,0.602004496629979
10,-9,11,0.620787628252973
10,-9,12,0.622806592715954
10,-9,13,0.601058225776953
10,-9,14,0.606713886098636
10,-9,15,0.536569598996498
10,-9,16,0.537528431265328
10,-9,17,0.507097218918638
10,-9,18,0.457364804803405
10,-9,19,0.434838788241857
10,-9,20,0.443717745768697
10,-9,21,0.436961587800488
10,-9,22,0.389787524756977
10,-9,23,0.032258920198915
10,-9,24,0
10,-9,25,0
10,-9,26,0
10,-9,27,0
10,-9,28,0
10,-9,29,0
10,-9,30,0
10,-8,-8,2.42105941186902e-07
